level_0_id,level_0_name,level_1_id,level_1_name,level_2_id,level_2_name,level_3_id,level_3_name,value_expense_budgets_2014,value_revenue_budgets_2014,value_expense_budgets_2013,value_revenue_budgets_2013,value_expense_accounts_2012,value_revenue_accounts_2012
1000,Gemeinde und Behörden,010,Stadtrat,PG010000,Stadtrat,P010010,Stadtrat,814545.58,0.00,874811.62,0.00,906709.06,130.00
1000,Gemeinde und Behörden,010,Stadtrat,PG010100,Ratssekretariat,P010110,Sitzungsmanagement,591379.68,7628.30,603655.14,8335.00,597615.27,9012.30
1000,Gemeinde und Behörden,010,Stadtrat,PG010100,Ratssekretariat,P010120,Dienstleistungen,320748.30,0.00,327406.10,0.00,355643.10,0.00
1000,Gemeinde und Behörden,020,Ombudsstelle,PG020000,Ombudstätigkeit und Datenschutz,P020010,Ombudstätigkeit,298809.75,2310.44,314805.18,2286.96,280437.63,2296.56
1000,Gemeinde und Behörden,020,Ombudsstelle,PG020000,Ombudstätigkeit und Datenschutz,P020020,Datenschutz,74702.40,577.56,78701.16,571.74,91771.70,574.14
1000,Gemeinde und Behörden,030,Gemeinderat,PG030000,Gemeinderat,P030010,Gemeinderat,2404157.21,243983.00,2729612.50,265000.00,2162882.04,281504.90
1000,Gemeinde und Behörden,030,Gemeinderat,PG030000,Gemeinderat,P030020,Beiträge,1150400.00,0.00,1345400.00,0.00,1276144.95,0.00
1000,Gemeinde und Behörden,040,Stadtkanzlei,PG040000,Leistungen für Politk und Verw'führung,P040010,Beziehungspflege und Repräsentation,281599.10,65072.37,287769.64,7755.12,424374.42,67179.00
1000,Gemeinde und Behörden,040,Stadtkanzlei,PG040000,Leistungen für Politk und Verw'führung,P040020,Administrative Dienstleistungen,821330.82,41795.49,806646.07,4981.08,882076.36,35269.25
1000,Gemeinde und Behörden,040,Stadtkanzlei,PG040000,Leistungen für Politk und Verw'führung,P040030,Rechtliche Dienstleistungen,539731.68,3086.40,513320.24,367.80,718543.57,62815.28
1000,Gemeinde und Behörden,040,Stadtkanzlei,PG040000,Leistungen für Politk und Verw'führung,P040040,E-Government,211199.36,0.00,274438.24,0.00,115317.60,0.00
1000,Gemeinde und Behörden,040,Stadtkanzlei,PG040100,Politische Rechte,P040110,Abstimmungen und Wahlen,1703983.92,116147.23,1464656.46,39722.30,1862750.64,13210.07
1000,Gemeinde und Behörden,040,Stadtkanzlei,PG040100,Politische Rechte,P040120,Initiativen und Referenden,170000.00,0.00,0.00,0.00,0.00,0.00
1000,Gemeinde und Behörden,040,Stadtkanzlei,PG040200,Stadtarchiv,P040210,Archivierung,895370.78,50400.04,976567.19,47883.98,971368.58,32694.66
1000,Gemeinde und Behörden,040,Stadtkanzlei,PG040200,Stadtarchiv,P040220,Information,525852.79,29599.96,573539.48,28122.32,387488.62,19932.59
1000,Gemeinde und Behörden,050,Informationsdienst,PG050000,Informationsdienst,P050010,Information (Medien und Internet),715905.18,5595.36,754369.86,5493.50,647324.06,21369.69
1000,Gemeinde und Behörden,050,Informationsdienst,PG050000,Informationsdienst,P050020,Beratung/Unterstützung/Schulung GR/Verw.,238635.00,1865.08,251456.49,1831.20,323497.93,7123.21
1000,Gemeinde und Behörden,060,Finanzinspektorat,PG060000,Revision,P060010,"Revision verrechenbar, Stiftungsaufsicht",0.00,0.00,0.00,0.00,0.00,0.00
1000,Gemeinde und Behörden,060,Finanzinspektorat,PG060000,Revision,P060020,Revision nicht verrechenbar,0.00,0.00,0.00,0.00,0.00,0.00
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100100,Leistungen für Politik und Verw'führung,P100110,Führungsunterstützung,1722794.22,181476.95,1920313.16,225548.90,3923327.46,2089184.78
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100100,Leistungen für Politik und Verw'führung,P100150,Grossanlässe,0.00,0.00,0.00,0.00,0.00,0.00
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100200,Zentrale Dienste,P100210,Finanzwesen,448156.86,6500.00,446224.98,6100.04,345220.73,8796.82
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100200,Zentrale Dienste,P100220,Personalwesen,376451.70,5459.96,374828.87,5124.00,490953.26,25932.55
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100200,Zentrale Dienste,P100230,Informatikkoordination,38963.16,129.96,38924.52,122.04,34118.77,70.21
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100200,Zentrale Dienste,P100240,Ausbildungswesen,462826.84,25910.08,446334.33,21590.92,439321.23,29603.02
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100300,Gleichstellung,P100310,Gleichstellungsprojekte,206553.41,1733.00,214510.37,2043.30,258524.04,1526.97
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100300,Gleichstellung,P100320,Auskunft und Beratung,123932.00,1039.80,128706.14,1225.98,98331.92,916.19
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100300,Gleichstellung,P100330,Öffentlichkeitsarbeit,82621.21,693.20,85804.02,817.22,98645.36,610.74
1100,Präsidialdirektion,100,Direktionsstabsdienste u. Gleichstellung,PG100500,"Enteignungen, Bausperren",P100510,"Enteignungen, Bausperren usw.",235202.03,0.00,331787.74,0.00,343143.30,0.00
1100,Präsidialdirektion,110,Abteilung Kulturelles,PG110000,Kulturförderung,P110020,Beiträge direkte Förderung,3673328.39,585613.20,3698353.25,502370.04,4652328.03,819875.11
1100,Präsidialdirektion,110,Abteilung Kulturelles,PG110000,Kulturförderung,P110030,Abgeltung Leistungsverträge,26918198.52,617452.20,31887928.33,616793.96,31464734.94,675379.09
1100,Präsidialdirektion,120,Denkmalpflege,PG120000,Denkmalpflege,P120010,Baugesuche / Restaurierungen,831108.90,359291.62,831182.71,316249.76,920293.65,360963.82
1100,Präsidialdirektion,120,Denkmalpflege,PG120000,Denkmalpflege,P120020,Grundlagenarbeit,307396.46,132888.68,307423.78,116969.04,245084.13,110763.18
1100,Präsidialdirektion,130,Aussenbeziehungen und Statistik,PG130100,Aussenbeziehungen und Statistik,P130130,Aussenbeziehungen,501046.80,3610.80,1114667.91,7374.60,978061.52,27177.96
1100,Präsidialdirektion,130,Aussenbeziehungen und Statistik,PG130100,Aussenbeziehungen und Statistik,P130140,Grundlagen und politisches Controlling,237544.60,1666.50,0.00,0.00,0.00,0.00
1100,Präsidialdirektion,130,Aussenbeziehungen und Statistik,PG130100,Aussenbeziehungen und Statistik,P130210,Dienstleistungen Statistik,1123764.49,37448.35,1168785.49,36725.00,1096756.20,66494.69
1100,Präsidialdirektion,140,Hochbauamt,PG140100,Hochbauamt,P140110,Dienstleistungen,302411.52,93960.00,0.00,0.00,0.00,0.00
1100,Präsidialdirektion,140,Hochbauamt,PG140100,Hochbauamt,P140120,Bauherrenleistungen,3729742.63,1158840.00,0.00,0.00,0.00,0.00
1100,Präsidialdirektion,140,Hochbauamt,PG140100,Hochbauamt,P140130,Wettbewerbe,1008038.60,313200.00,0.00,0.00,0.00,0.00
1100,Präsidialdirektion,150,Bauinspektorat,PG150000,Baurechtl. Bewilligungsverf./Voranfragen,P150010,Baugesuche,3773521.07,2753995.08,3631589.26,2347953.00,4347269.96,3742656.32
1100,Präsidialdirektion,150,Bauinspektorat,PG150000,Baurechtl. Bewilligungsverf./Voranfragen,P150020,Plakatreklamegesuche,122740.18,164575.92,339324.04,365305.20,103044.85,80534.20
1100,Präsidialdirektion,150,Bauinspektorat,PG150000,Baurechtl. Bewilligungsverf./Voranfragen,P150050,Voranfragen,50789.04,13272.24,51707.28,12172.68,29633.02,16130.68
1100,Präsidialdirektion,150,Bauinspektorat,PG150100,Beschwerden / Widerrechtliches Bauen,P150110,Beschwerden,76183.56,0.00,77560.80,0.00,48233.01,4850.00
1100,Präsidialdirektion,150,Bauinspektorat,PG150100,Beschwerden / Widerrechtliches Bauen,P150120,Widerrechtliches Bauen / Nutzungskontr.,131205.01,18581.16,133576.80,17041.56,115206.54,361.44
1100,Präsidialdirektion,150,Bauinspektorat,PG150200,Baurechtl. Auskünfte + Stellungn./Archiv,P150210,Vernehmlassungen / Stellungnahmen,59253.88,0.00,60325.20,0.00,56149.02,0.00
1100,Präsidialdirektion,150,Bauinspektorat,PG150200,Baurechtl. Auskünfte + Stellungn./Archiv,P150220,Auskünfte / Beratungen bew'freies Bauen,203156.28,0.00,206828.76,0.00,328370.32,0.00
1100,Präsidialdirektion,150,Bauinspektorat,PG150200,Baurechtl. Auskünfte + Stellungn./Archiv,P150230,Archiv,135437.63,23890.05,137885.67,21910.56,125319.41,28888.86
1100,Präsidialdirektion,170,Stadtplanungsamt,PG170500,Stadtplanung,P170510,Räumliche Stadtentwicklung,1862160.81,35492.80,1481776.56,34525.48,1585165.51,25503.23
1100,Präsidialdirektion,170,Stadtplanungsamt,PG170500,Stadtplanung,P170520,Nutzungsplanung,1032076.46,124224.80,1436874.35,120839.20,1401488.47,89650.13
1100,Präsidialdirektion,170,Stadtplanungsamt,PG170500,Stadtplanung,P170530,Öffentlicher Raum,329281.54,17746.40,538827.80,17262.80,554930.77,12644.99
1100,Präsidialdirektion,170,Stadtplanungsamt,PG170500,Stadtplanung,P170540,Grünraum,1302382.29,0.00,1032753.35,0.00,922128.03,0.00
1100,Präsidialdirektion,170,Stadtplanungsamt,PG170500,Stadtplanung,P170550,Förderung Wohnbautätigkeit,388748.68,0.00,0.00,0.00,0.00,0.00
1200,"Direktion für Sicherheit,Umwelt,Energie",200,Direktionsstabsdienste,PG200100,Leistungen für Politik und Verw'führung,P200110,Führungsunterstützung,1187562.96,305201.28,1207063.59,279462.76,1124288.97,279544.88
1200,"Direktion für Sicherheit,Umwelt,Energie",200,Direktionsstabsdienste,PG200100,Leistungen für Politik und Verw'führung,P200140,Rechtliche Dienstleistungen,243235.68,62511.12,247229.88,57239.40,278843.33,57256.17
1200,"Direktion für Sicherheit,Umwelt,Energie",200,Direktionsstabsdienste,PG200200,Stabsdienstleistungen,P200210,Finanzwesen,588782.71,111869.52,619728.39,111752.84,590518.81,121247.18
1200,"Direktion für Sicherheit,Umwelt,Energie",200,Direktionsstabsdienste,PG200200,Stabsdienstleistungen,P200220,Controlling,136797.24,25991.74,143987.16,25964.60,132454.11,28170.49
1200,"Direktion für Sicherheit,Umwelt,Energie",200,Direktionsstabsdienste,PG200200,Stabsdienstleistungen,P200230,Personalwesen,765745.20,112571.80,759858.51,112350.52,804664.30,121446.45
1200,"Direktion für Sicherheit,Umwelt,Energie",200,Direktionsstabsdienste,PG200200,Stabsdienstleistungen,P200240,Informatikbetreuung und -koordination,60079.84,11415.24,63237.64,11403.36,59592.42,12372.19
1200,"Direktion für Sicherheit,Umwelt,Energie",200,Direktionsstabsdienste,PG200200,Stabsdienstleistungen,P200260,Spezialitäten Stabsdienstleistungen,163545.88,350818.00,169032.84,362165.44,215238.64,323030.95
1200,"Direktion für Sicherheit,Umwelt,Energie",210,Kantonspolizei,PG210100,Kantonspolizei,P210110,Sicherheits-/Verkehrspolizeiliche Leist.,32041303.00,0.00,32229162.00,0.00,30961688.00,0.00
1200,"Direktion für Sicherheit,Umwelt,Energie",220,Amt für Umweltschutz,PG220100,Umweltschutz,P220110,Chemie und Umwelt,2466089.17,1573412.44,2658423.86,1573544.68,2669419.41,1791188.51
1200,"Direktion für Sicherheit,Umwelt,Energie",220,Amt für Umweltschutz,PG220100,Umweltschutz,P220130,Lärmschutz,2035906.55,215974.56,2150332.28,216656.04,1823452.74,179895.55
1200,"Direktion für Sicherheit,Umwelt,Energie",220,Amt für Umweltschutz,PG220100,Umweltschutz,P220140,Lokale Agenda 21,876380.95,3768.12,876248.44,2730.96,1088532.83,3581.91
1200,"Direktion für Sicherheit,Umwelt,Energie",220,Amt für Umweltschutz,PG220100,Umweltschutz,P220150,Energie,1263711.95,39379.04,1055299.64,38012.72,1208856.17,112915.94
1200,"Direktion für Sicherheit,Umwelt,Energie",230,Polizeiinspektorat,PG230100,Dienstleistungen,P230140,"Auskunft und Beratung, Call Center",645431.16,105153.72,813567.35,120017.60,698817.75,119024.44
1200,"Direktion für Sicherheit,Umwelt,Energie",230,Polizeiinspektorat,PG230100,Dienstleistungen,P230160,Geschäftsleitung Bern. Ortpolizeiverein.,10100.00,0.00,12000.00,0.00,12781.65,1124.30
1200,"Direktion für Sicherheit,Umwelt,Energie",230,Polizeiinspektorat,PG230200,Ruhe und Ordnung,P230210,Waffenbesitz,0.00,2500.00,169457.76,3784.48,42619.35,5139.31
1200,"Direktion für Sicherheit,Umwelt,Energie",230,Polizeiinspektorat,PG230200,Ruhe und Ordnung,P230220,Strafvollzug,72010.20,106659.04,129505.92,169981.60,89286.22,132842.48
1200,"Direktion für Sicherheit,Umwelt,Energie",230,Polizeiinspektorat,PG230200,Ruhe und Ordnung,P230230,"Bescheinigungen, Gutachten",73017.24,20168.28,142823.28,20082.52,91192.55,54093.58
1200,"Direktion für Sicherheit,Umwelt,Energie",230,Polizeiinspektorat,PG230200,Ruhe und Ordnung,P230240,Gemeindestelle wirtsch. Landesversorgung,2000.00,0.00,4500.00,0.00,1890.00,0.00
1200,"Direktion für Sicherheit,Umwelt,Energie",230,Polizeiinspektorat,PG230200,Ruhe und Ordnung,P230250,Bestattungen,638412.92,353107.84,881901.46,372782.08,580839.96,363855.44
1200,"Direktion für Sicherheit,Umwelt,Energie",230,Polizeiinspektorat,PG230200,Ruhe und Ordnung,P230260,Fundsachen und Räumungen,692739.41,30266.48,625346.60,43809.56,599864.75,38508.40
1200,"Direktion für Sicherheit,Umwelt,Energie",230,Polizeiinspektorat,PG230200,Ruhe und Ordnung,P230270,Vollzug und Kontrolle,1802518.06,188971.90,1465416.36,329484.92,1706786.39,198747.17
1200,"Direktion für Sicherheit,Umwelt,Energie",230,Polizeiinspektorat,PG230200,Ruhe und Ordnung,P230280,Veranstaltungen,2089211.92,967459.24,1861860.24,986077.20,2160206.07,1131000.80
1200,"Direktion für Sicherheit,Umwelt,Energie",230,Polizeiinspektorat,PG230200,Ruhe und Ordnung,P230290,Verkehrspolizeiliche Bewilligungen,592174.75,6359175.04,1039831.67,6361580.20,632133.64,6300535.59
1200,"Direktion für Sicherheit,Umwelt,Energie",230,Polizeiinspektorat,PG230300,"Gewerbe, Betriebe und Markt",P230310,Gastgewerbe,555100.87,644042.52,405855.55,613874.00,613568.09,663963.87
1200,"Direktion für Sicherheit,Umwelt,Energie",230,Polizeiinspektorat,PG230300,"Gewerbe, Betriebe und Markt",P230320,Transportgewerbe,420232.88,301393.80,455216.68,318147.92,482450.33,308578.01
1200,"Direktion für Sicherheit,Umwelt,Energie",230,Polizeiinspektorat,PG230300,"Gewerbe, Betriebe und Markt",P230330,Gewerbebetriebe,3524.88,32.28,177332.76,1407.12,63977.81,5674.57
1200,"Direktion für Sicherheit,Umwelt,Energie",230,Polizeiinspektorat,PG230300,"Gewerbe, Betriebe und Markt",P230340,Markt,887625.01,770056.04,569798.78,762645.68,799138.57,772184.57
1200,"Direktion für Sicherheit,Umwelt,Energie",230,Polizeiinspektorat,PG230400,Regelung des Einwohnerwesens,P230410,Aufenthaltsregelung von inländ. Personen,2034745.84,567990.48,1988668.54,519007.48,1926556.69,450187.89
1200,"Direktion für Sicherheit,Umwelt,Energie",230,Polizeiinspektorat,PG230400,Regelung des Einwohnerwesens,P230420,Aufenthaltsregelung v. ausländ. Personen,4059584.43,1897034.08,4739020.10,1701892.88,4627027.33,2008301.70
1200,"Direktion für Sicherheit,Umwelt,Energie",230,Polizeiinspektorat,PG230400,Regelung des Einwohnerwesens,P230440,Ausländerrechtliche Massnahmen,1525440.04,76626.44,693754.74,25958.36,1070359.69,33638.71
1200,"Direktion für Sicherheit,Umwelt,Energie",230,Polizeiinspektorat,PG230400,Regelung des Einwohnerwesens,P230450,Regelung von Einbürgerungen,876990.45,370819.60,918300.96,455198.60,772827.24,306421.33
1200,"Direktion für Sicherheit,Umwelt,Energie",240,Sanitätspolizei,PG240100,Hilfeleistungen,P240110,Primärtransporte,14373008.75,14373008.75,14537552.21,14537552.21,14257186.06,14101587.59
1200,"Direktion für Sicherheit,Umwelt,Energie",240,Sanitätspolizei,PG240100,Hilfeleistungen,P240120,Sekundärtransporte,4455347.03,4455347.03,4331373.97,4331373.97,4336741.61,4396441.41
1200,"Direktion für Sicherheit,Umwelt,Energie",240,Sanitätspolizei,PG240200,Übrige Dienstleistungen,P240210,Aus- und Weiterbildung für Dritte,268754.28,291579.28,266765.54,287620.22,262487.28,241427.88
1200,"Direktion für Sicherheit,Umwelt,Energie",250,"Feuerwehr, Zivilschutz und Quartieramt",PG250100,Feuerwehraufgaben,P250110,Brandbekämpfung,7622777.48,1191956.12,7495402.54,1190144.96,7806403.00,1248125.65
1200,"Direktion für Sicherheit,Umwelt,Energie",250,"Feuerwehr, Zivilschutz und Quartieramt",PG250100,Feuerwehraufgaben,P250120,Automatische Alarme,5500559.51,1832470.76,5457378.14,1828871.92,5470919.37,1928313.54
1200,"Direktion für Sicherheit,Umwelt,Energie",250,"Feuerwehr, Zivilschutz und Quartieramt",PG250100,Feuerwehraufgaben,P250130,Rettungen,1770147.14,688057.69,1693163.40,687041.05,1746498.11,719570.02
1200,"Direktion für Sicherheit,Umwelt,Energie",250,"Feuerwehr, Zivilschutz und Quartieramt",PG250100,Feuerwehraufgaben,P250150,Öl-/Chemieereignisse,1544578.32,501485.50,1489372.92,500808.94,1581030.04,560946.13
1200,"Direktion für Sicherheit,Umwelt,Energie",250,"Feuerwehr, Zivilschutz und Quartieramt",PG250100,Feuerwehraufgaben,P250160,Elementarereignisse,1224996.91,95205.68,1236558.08,94711.52,1458926.84,64493.18
1200,"Direktion für Sicherheit,Umwelt,Energie",250,"Feuerwehr, Zivilschutz und Quartieramt",PG250200,Hilfe- und Dienstleistungen,P250210,Hilfeleistungen,832041.17,352576.56,867756.38,358372.20,1050608.50,403971.25
1200,"Direktion für Sicherheit,Umwelt,Energie",250,"Feuerwehr, Zivilschutz und Quartieramt",PG250200,Hilfe- und Dienstleistungen,P250220,Dienstleistungen,540849.44,633714.72,557291.60,667578.70,817035.67,925987.60
1200,"Direktion für Sicherheit,Umwelt,Energie",250,"Feuerwehr, Zivilschutz und Quartieramt",PG250300,Zivilschutz,P250310,Zivilschutzstelle,455183.94,241187.32,445136.96,235808.08,556106.26,97167.88
1200,"Direktion für Sicherheit,Umwelt,Energie",250,"Feuerwehr, Zivilschutz und Quartieramt",PG250300,Zivilschutz,P250320,Ausbildung,576903.68,2483.28,628861.06,2386.08,497612.91,7914.42
1200,"Direktion für Sicherheit,Umwelt,Energie",250,"Feuerwehr, Zivilschutz und Quartieramt",PG250300,Zivilschutz,P250330,"Planungen, Bereitschaft und Einsatz",2997581.64,131417.36,2998219.58,125475.40,3183410.55,271200.69
1200,"Direktion für Sicherheit,Umwelt,Energie",250,"Feuerwehr, Zivilschutz und Quartieramt",PG250300,Zivilschutz,P250340,Katastrophen und Notlagen,280944.87,24692.12,322685.51,24580.88,304123.06,32744.93
1200,"Direktion für Sicherheit,Umwelt,Energie",250,"Feuerwehr, Zivilschutz und Quartieramt",PG250400,Quartieramt,P250410,Infrastruktur,302854.96,7999.20,307122.08,8977.36,226580.99,3985.99
1200,"Direktion für Sicherheit,Umwelt,Energie",250,"Feuerwehr, Zivilschutz und Quartieramt",PG250400,Quartieramt,P250420,Schiesswesen,651184.82,75342.64,687930.90,80332.44,606439.29,74911.95
1200,"Direktion für Sicherheit,Umwelt,Energie",250,"Feuerwehr, Zivilschutz und Quartieramt",PG250400,Quartieramt,P250430,Dienstleistungen,1528896.71,963793.16,1581463.58,871127.68,1482031.60,1048896.09
1200,"Direktion für Sicherheit,Umwelt,Energie",260,Wirtschaftsamt,PG260100,Wirtschaftförderung,P260110,Standortpromotion,192833.22,47055.96,197538.12,47036.28,175803.30,58584.49
1200,"Direktion für Sicherheit,Umwelt,Energie",260,Wirtschaftsamt,PG260100,Wirtschaftförderung,P260120,Anlaufstelle Wirtschaft,699020.38,170578.12,716075.36,170506.84,677687.59,212368.77
1200,"Direktion für Sicherheit,Umwelt,Energie",260,Wirtschaftsamt,PG260100,Wirtschaftförderung,P260130,"Beratung Behörden, Verw., Institutionen",313353.91,76466.16,320999.04,76434.24,443284.87,95199.79
1200,"Direktion für Sicherheit,Umwelt,Energie",260,Wirtschaftsamt,PG260100,Wirtschaftförderung,P260140,Bern Tourismus,2755000.00,0.00,3070000.00,0.00,3003037.40,0.00
1200,"Direktion für Sicherheit,Umwelt,Energie",270,Tierpark,PG270100,Tierpark,P270110,Zoo,6486347.36,2036830.64,6647111.60,2026556.60,6291705.11,1731347.58
1200,"Direktion für Sicherheit,Umwelt,Energie",270,Tierpark,PG270100,Tierpark,P270120,Zoopädagogik,1222136.68,237638.68,1239451.62,172034.56,1157692.45,196241.83
1200,"Direktion für Sicherheit,Umwelt,Energie",270,Tierpark,PG270100,Tierpark,P270130,Wissenschaft,281572.56,3485.04,289372.32,2962.20,270675.14,4860.83
1200,"Direktion für Sicherheit,Umwelt,Energie",270,Tierpark,PG270100,Tierpark,P270140,Erhaltung bedrohter Tierarten,451053.40,4818.60,466680.76,4029.88,434151.92,7145.21
1200,"Direktion für Sicherheit,Umwelt,Energie",270,Tierpark,PG270100,Tierpark,P270150,Bärenpark,1194168.56,28397.24,1370591.01,554820.44,1282835.85,141840.06
1200,"Direktion für Sicherheit,Umwelt,Energie",280,Amt für Erwachsenen- und Kindesschutz,PG280100,Vormundschaftspflege,P280110,Vorbereitung und Vollzug von Geschäften,0.00,0.00,0.00,0.00,1232256.03,13354.50
1200,"Direktion für Sicherheit,Umwelt,Energie",280,Amt für Erwachsenen- und Kindesschutz,PG280100,Vormundschaftspflege,P280120,Vertretung der Erw. u. Kindesschutzkomm.,0.00,0.00,0.00,0.00,205376.02,2225.75
1200,"Direktion für Sicherheit,Umwelt,Energie",280,Amt für Erwachsenen- und Kindesschutz,PG280100,Vormundschaftspflege,P280130,Finanzen,0.00,0.00,0.00,0.00,513540.08,293311.15
1200,"Direktion für Sicherheit,Umwelt,Energie",280,Amt für Erwachsenen- und Kindesschutz,PG280100,Vormundschaftspflege,P280140,Vaterschafts- und Unterhaltsregelungen,0.00,0.00,0.00,0.00,103773.23,42862.80
1200,"Direktion für Sicherheit,Umwelt,Energie",280,Amt für Erwachsenen- und Kindesschutz,PG280200,Schutz von Erwachsenen und Kindern,P280210,Präventive Sozialarbeit Kindesschutz,1271966.58,10362.24,0.00,0.00,0.00,0.00
